com_pos_x,com_pos_y,com_pos_z,com_quat_w,com_quat_x,com_quat_y,com_quat_z,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_pos_7,joint_pos_8,joint_pos_9,joint_pos_10,joint_pos_11,joint_pos_12,joint_pos_13,joint_pos_14,joint_pos_15
0.00640398,0.0727946,0.433359,0.030641,-0.256032,0.0189718,0.965996,-0.213057,0.92992,-0.603202,-7.4982e-06,-2.06136,0.261764,-0.370583,-0.600292,2.29616,-0.171999,-1.15473,1.78109,0.000168364,3.10924e-06,3.04634e-06,-0.000191557
0.00636663,0.0725655,0.43336,0.0308137,-0.25607,0.0192112,0.965976,-0.213057,0.92992,-0.603202,-7.1995e-06,-2.06136,0.261768,-0.369301,-0.600438,2.29574,-0.169373,-1.15639,1.78592,0.000168364,3.56532e-06,2.50415e-06,-0.000191688
0.00633312,0.072319,0.433368,0.0310387,-0.256116,0.0194829,0.965951,-0.213057,0.92992,-0.603202,-6.94528e-06,-2.06136,0.261771,-0.368007,-0.600584,2.29531,-0.166709,-1.15806,1.7908,0.000168364,4.01855e-06,1.96591e-06,-0.000191819
0.00629855,0.0720591,0.433381,0.0313024,-0.256172,0.019779,0.965922,-0.213057,0.92992,-0.603202,-6.72788e-06,-2.06136,0.261775,-0.366702,-0.600728,2.29487,-0.164009,-1.15973,1.79571,0.000168364,4.47111e-06,1.4455e-06,-0.000191957
0.0062632,0.0717924,0.433395,0.0315832,-0.256234,0.0200866,0.96589,-0.213057,0.92992,-0.603202,-6.5346e-06,-2.06136,0.261777,-0.365386,-0.600872,2.29444,-0.161275,-1.16141,1.80065,0.000168364,4.92017e-06,9.40162e-07,-0.000192104
0.00622788,0.0715251,0.433407,0.0318604,-0.256296,0.0203934,0.965858,-0.213057,0.92992,-0.603202,-6.36449e-06,-2.06136,0.261779,-0.364061,-0.601015,2.29399,-0.158507,-1.16308,1.80562,0.000168364,5.36673e-06,4.47884e-07,-0.000192259
0.00619218,0.0712609,0.433416,0.0321222,-0.256356,0.0206922,0.965827,-0.213057,0.92992,-0.603202,-6.21751e-06,-2.06136,0.261781,-0.362726,-0.601157,2.29355,-0.155706,-1.16475,1.81061,0.000168364,5.81212e-06,-3.74661e-08,-0.000192417
0.00615503,0.0710002,0.433422,0.0323675,-0.256415,0.0209824,0.965797,-0.213057,0.92992,-0.603202,-6.09792e-06,-2.06136,0.261783,-0.361383,-0.601299,2.2931,-0.152876,-1.16642,1.81563,0.000168364,6.26236e-06,-5.19536e-07,-0.000192575
0.00610574,0.0707425,0.433424,0.0325992,-0.256483,0.0212658,0.965765,-0.213057,0.92992,-0.603202,-5.98479e-06,-2.06136,0.261784,-0.360033,-0.60144,2.29264,-0.150016,-1.16809,1.82066,0.000168364,6.72862e-06,-1.02512e-06,-0.000192729
0.00606463,0.0704817,0.433425,0.0328382,-0.256545,0.0215542,0.965734,-0.213057,0.92992,-0.603202,-5.88737e-06,-2.06136,0.261786,-0.358676,-0.60158,2.29219,-0.147128,-1.16975,1.82571,0.000168364,7.19492e-06,-1.5401e-06,-0.000192883
0.00602834,0.0702158,0.433428,0.0330912,-0.256605,0.0218515,0.965702,-0.213057,0.92992,-0.603202,-5.80848e-06,-2.06136,0.261787,-0.357313,-0.60172,2.29173,-0.144215,-1.17141,1.83077,0.000168364,7.66248e-06,-2.05377e-06,-0.000193035
