time_s,base_error_x_m,base_error_y_m,base_error_z_m,base_orientation_error_rad,wheel_error_fl_m,wheel_error_fr_m,wheel_error_rl_m,wheel_error_rr_m,contact_mismatch_fl,contact_mismatch_fr,contact_mismatch_rl,contact_mismatch_rr,solve_ms,rollout_termination_rate
1.020000000000000018e+00,-2.033996582031250000e-02,3.913307189941406250e-02,-1.966834068298339844e-03,1.129104346036911011e-01,4.429012909531593323e-02,4.779624193906784058e-02,1.375780999660491943e-01,1.220513805747032166e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.682414245605468750e+02,0.000000000000000000e+00
1.040000000000000036e+00,-1.907157897949218750e-02,3.978347778320312500e-02,-1.249432563781738281e-03,1.109561994671821594e-01,4.344646260142326355e-02,5.148094892501831055e-02,1.414860785007476807e-01,1.218014359474182129e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.600723876953125000e+02,0.000000000000000000e+00
1.060000000000000053e+00,-1.796150207519531250e-02,4.027748107910156250e-02,-6.809830665588378906e-04,1.099281013011932373e-01,4.107444360852241516e-02,5.561062321066856384e-02,1.440433859825134277e-01,1.213415563106536865e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.791470947265625000e+02,0.000000000000000000e+00
1.080000000000000071e+00,-1.720237731933593750e-02,4.074096679687500000e-02,-1.579523086547851562e-05,1.091222688555717468e-01,3.777615353465080261e-02,5.784019455313682556e-02,1.457562744617462158e-01,1.210516393184661865e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.702808532714843750e+02,0.000000000000000000e+00
1.100000000000000089e+00,-1.668548583984375000e-02,4.125213623046875000e-02,9.189844131469726562e-04,1.085128784179687500e-01,3.470422327518463135e-02,5.747117474675178528e-02,1.463193595409393311e-01,1.208875253796577454e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.820541992187500000e+02,0.000000000000000000e+00
1.120000000000000107e+00,-1.614189147949218750e-02,4.189109802246093750e-02,1.467525959014892578e-03,1.085370555520057678e-01,3.173533827066421509e-02,5.722755566239356995e-02,1.450405865907669067e-01,1.205181479454040527e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.873701171875000000e+02,0.000000000000000000e+00
1.140000000000000124e+00,-1.513481140136718750e-02,4.294586181640625000e-02,1.325130462646484375e-03,1.093188300728797913e-01,2.864696271717548370e-02,5.817073211073875427e-02,1.427882164716720581e-01,1.204287707805633545e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.648340148925781250e+02,0.000000000000000000e+00
1.159999999999999920e+00,-1.333618164062500000e-02,4.475784301757812500e-02,3.383159637451171875e-04,1.093908175826072693e-01,2.598932199180126190e-02,6.008139252662658691e-02,1.396155208349227905e-01,1.207322925329208374e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.714042968750000000e+02,0.000000000000000000e+00
1.179999999999999938e+00,-1.029014587402343750e-02,4.780387878417968750e-02,-1.882791519165039062e-03,1.067755743861198425e-01,2.341357618570327759e-02,6.317085027694702148e-02,1.353481858968734741e-01,1.199318915605545044e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.602252807617187500e+02,0.000000000000000000e+00
1.199999999999999956e+00,-5.956649780273437500e-03,5.222129821777343750e-02,-5.341529846191406250e-03,1.030236929655075073e-01,2.296334505081176758e-02,6.740078330039978027e-02,1.331246048212051392e-01,1.193713620305061340e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.754853515625000000e+02,0.000000000000000000e+00
